N,Bubble Sort (Tempo),Bubble Sort (Operacoes),Bubble Sort Otimizado (Tempo),Bubble Sort Otimizado (Operacoes),Insertion Sort (Tempo),Insertion Sort (Operacoes),Merge Sort (Tempo),Merge Sort (Operacoes),Quick Sort (Tempo),Quick Sort (Operacoes)
127000,25733,12098523503,27405,12098359052,1976,4034214002,14,6224557,8,3827896
128000,26167,12283340170,27695,12283302495,2002,4091532169,14,6277200,8,3973931
129000,26580,12471693013,28131,12471675058,2033,4151386512,14,6328587,8,4058834
130000,26989,12677792372,28374,12677636411,2068,4227987371,14,6380079,8,3936399
131000,27404,12882178442,28801,12882144512,2108,4301874941,15,6432633,8,3877810
132000,27766,13064979074,29240,13064961308,2136,4353177073,15,6487471,9,4121671
133000,28174,13269926935,29910,13269443299,2173,4425626434,15,6543622,8,4270432
134000,28781,13473757516,30187,13473561891,2207,4495958515,15,6598800,9,4201136
135000,29091,13670679251,30585,13670604946,2238,4558381750,15,6654420,9,4301106
136000,29525,13864943757,31098,13864822971,2259,4617147756,15,6709372,9,4270963
137000,29890,14081836688,31472,14081757685,2312,4697542187,16,6764829,9,4301238
138000,30439,14285416288,32039,14285324910,2341,4763623287,15,6819695,9,4489283
139000,30900,14498580387,32707,14498446484,2382,4838288886,16,6875383,11,4351022
140000,31322,14694672240,33522,14694629754,2402,4894882239,16,6931119,9,4662441
141000,31770,14898065335,33735,14897848524,2434,4957776834,16,6985826,9,4453352
142000,32264,15132859611,33896,15132808890,2476,5051072610,16,7042571,9,4326934
143000,32708,15341350082,34458,15340929179,2515,5117064581,16,7096752,9,4798398
144000,33055,15549674130,35253,15549581465,2543,5181890129,17,7152337,9,4672811
145000,33587,15748562394,35546,15748560048,2563,5236279893,17,7207787,10,4524014
146000,34032,15982093873,35900,15981556707,2618,5324312872,17,7263269,10,4535231
147000,34630,16210370873,36466,16210363123,2659,5406091372,17,7318134,10,4804323
148000,35007,16430855721,37132,16430502501,2691,5479077720,17,7373389,9,4337167
149000,35425,16640329684,37345,16640263981,2725,5540053183,17,7428982,10,4773112
150000,35936,16879665915,37894,16879637235,2762,5629890914,17,7484104,10,4704752
151000,36471,17099551732,38670,17099274592,2802,5699278231,17,7539495,10,4940581
152000,36974,17312899733,38949,17312609030,2824,5761127732,18,7594643,10,4658235
153000,37476,17552936803,39709,17552891653,2875,5848666302,18,7649426,10,4807201
154000,38007,17787671494,40131,17787533944,2908,5929902493,18,7704572,10,4713228
155000,38489,18027401488,41029,18027310963,2957,6015133987,18,7760117,10,4889601
156000,38914,18260904223,41265,18260761912,2990,6093138222,18,7815143,10,4800167
157000,39466,18493137232,42135,18493090261,3027,6168872731,18,7870297,10,4854207
158000,39870,18727895194,42058,18727865059,3062,6246132193,18,7925473,10,5195365
159000,40297,18962831334,42736,18962664003,3104,6322569833,18,7980155,11,4795518
160000,40960,19187629200,43661,19187618469,3130,6387869199,19,8036046,11,5080585
161000,41471,19430519168,43798,19430306942,3178,6470260667,18,8090168,10,5121504
162000,41748,19684504016,44060,19684451690,3229,6562747015,19,8145483,11,5069137
163000,42456,19915253588,44887,19915133293,3254,6630998087,18,8201264,11,5091176
164000,42947,20169861517,45378,20169714364,3296,6722107516,18,8256087,11,5029631
